task,profile_mode,split,query_uid,trace_order,query_index,workload_profile,graph_signature,rep_count,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,quant_kv_attention_calls,int_gemm_call_count,cache_hits,cache_misses,cache_skips,fallback_count,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,prefix_transformer_gpu_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms
wikics,cache_bf16,test,wikics:test:000087:5e99a11f6629116f,187,87,large_h6_n10_s100_wikics_arxiv,5e99a11f6629116fd08a82ba8d35c24398048b98ac3869fdfbaaaced09dd547e,3,0,0,0,0,0,56,0,1,0,1047.972735,1047.9520263671875,940.902743,106.784315,66.81179162114859,26.368306018412113,7.068096660077572,608.0957818776369,19.266592025756836,223.42303848266602,383.19945907592773,99.5487357378006,0.0,302.70230758190155,0.0,0.0,0.0,0.0,0.0,178.83315086364746,9.464831948280334,28.63593578338623,6.388893723487854
wikics,cache_bf16,test,wikics:test:000088:661719a5706d2798,188,88,large_h6_n10_s100_wikics_arxiv,661719a5706d2798e1832429597e7d4d8bc6495443836e96584a4620e3966597,3,0,0,0,0,0,61,0,1,0,1005.938786,1005.9165649414062,901.879593,102.479102,72.00225722044706,26.318508200347424,7.701697759330273,595.2841360121965,19.241119384765625,177.216064453125,416.47740173339844,107.62246370315552,0.0,327.9519305229187,0.0,0.0,0.0,0.0,0.0,133.6565761566162,6.890911936759949,31.774816513061523,4.930335760116577
wikics,cache_bf16,test,wikics:test:000089:0811b581634c9202,189,89,large_h6_n10_s100_wikics_arxiv,0811b581634c9202754ef09bc06883c1deaacc1ec2345102e3cee23457a2eb14,3,0,0,0,0,0,64,0,1,0,1167.721812,1167.699951171875,1058.551044,107.061482,78.09695787727833,26.69337671250105,7.994135841727257,707.9312661662698,19.226591110229492,267.26518630981445,438.21644592285156,112.67331191897392,0.0,344.41919815540314,0.0,0.0,0.0,0.0,0.0,214.64003372192383,11.674720048904419,33.41481685638428,7.58115291595459
wikics,cache_bf16,test,wikics:test:000090:7a6f588c7960f99a,190,90,large_h6_n10_s100_wikics_arxiv,7a6f588c7960f99a36a1c6325dd09381821ed32292ec8ef9de564ccdc789c916,3,0,0,0,0,0,62,0,1,0,1107.071477,1107.0509033203125,982.39085,122.580319,81.24356530606747,26.73983946442604,7.713278755545616,636.2459035590291,19.307775497436523,210.59164810180664,423.4314956665039,109.30995190143585,0.0,332.9929676055908,0.0,0.0,0.0,0.0,0.0,163.84627151489258,8.594496011734009,32.206016063690186,5.943365812301636
wikics,cache_bf16,test,wikics:test:000091:048f77cea8bd8173,191,91,large_h6_n10_s100_wikics_arxiv,048f77cea8bd8173479140b32200897a6931e78a836def05ad85382e9253fcce,3,0,0,0,0,0,60,0,1,0,1043.870695,1043.8497314453125,935.247702,106.911924,76.97836682200432,26.59832499921322,7.491681724786758,616.9589962810278,19.295040130615234,205.38377380371094,409.9948501586914,106.01862406730652,0.0,323.2712662220001,0.0,0.0,0.0,0.0,0.0,160.18470573425293,8.350688099861145,31.122015953063965,5.799299120903015
wikics,cache_bf16,test,wikics:test:000092:7d809617c6bd3e1e,192,92,large_h6_n10_s100_wikics_arxiv,7d809617c6bd3e1e57cc92bf7f69f76cb3ba72c0919f19f3316d1484b3e9841e,3,0,0,0,0,0,63,0,1,0,1043.496182,1043.4759521484375,939.658664,101.826969,96.34621348232031,27.030110359191895,7.93106947094202,612.2334497049451,19.253631591796875,181.56246185302734,429.30909729003906,110.82358402013779,0.0,337.73914486169815,0.0,0.0,0.0,0.0,0.0,136.69644927978516,6.9762879610061646,32.82915163040161,5.034814238548279
wikics,cache_bf16,test,wikics:test:000093:322b3afcaa35f3c7,193,93,large_h6_n10_s100_wikics_arxiv,322b3afcaa35f3c71d509b1eaa067b1c9deb2f1fd9e38948dae3d548b5de4f83,3,0,0,0,0,0,62,0,1,0,1082.049682,1082.0291748046875,973.60422,107.570844,76.92060247063637,26.432396844029427,7.7564651146531105,641.7196979746222,19.180320739746094,216.85475158691406,422.5018539428711,109.34620767831802,0.0,332.1908463835716,0.0,0.0,0.0,0.0,0.0,169.55609703063965,8.947136044502258,32.21743965148926,6.134078860282898
wikics,cache_bf16,test,wikics:test:000094:a005efdcd7c8715a,194,94,large_h6_n10_s100_wikics_arxiv,a005efdcd7c8715aa8fad232b75159e3190c49386d6e22f9d83ff1ba334960c2,3,0,0,0,0,0,59,0,1,0,1025.637875,1025.615966796875,917.202867,107.248358,72.31969945132732,26.34224947541952,7.389525882899761,568.0457167327404,19.27168083190918,165.19145584106445,401.2238464355469,104.34463998675346,0.0,315.9557502567768,0.0,0.0,0.0,0.0,0.0,123.93465614318848,6.322751998901367,30.331200122833252,4.587487697601318
wikics,cache_bf16,test,wikics:test:000095:d668389de14e05fb,195,95,large_h6_n10_s100_wikics_arxiv,d668389de14e05fb64f040eb1d30df390da23556d25ad8a665fb85d39595048c,3,0,0,0,0,0,57,0,1,0,996.363456,996.3421020507812,876.628661,117.459431,68.87137051671743,26.48076694458723,7.1470970287919044,571.2503157556057,19.168127059936523,179.73164749145508,389.9936294555664,101.23977607488632,0.0,307.6540447473526,0.0,0.0,0.0,0.0,0.0,138.0719051361084,7.105311870574951,29.50710391998291,5.047326564788818
wikics,cache_bf16,test,wikics:test:000096:da21905a8cb96e44,196,96,large_h6_n10_s100_wikics_arxiv,da21905a8cb96e44856130f52c5c36dc7e212f58af78856eb7e3901a67b9533e,3,0,0,0,0,0,58,0,1,0,1069.73117,1069.7100830078125,944.889829,122.510293,71.96255307644606,26.55069064348936,7.3015522211790085,593.6295995488763,19.28166389465332,195.81933212280273,396.2544631958008,102.82313585281372,0.0,312.2655420899391,0.0,0.0,0.0,0.0,0.0,152.36377334594727,7.962112069129944,29.84329605102539,5.543014883995056
