task,profile_mode,split,query_uid,trace_order,query_index,workload_profile,graph_signature,rep_count,logical_memory_loaded_bytes,logical_key_loaded_bytes,logical_value_loaded_bytes,quant_kv_attention_calls,int_gemm_call_count,cache_hits,cache_misses,cache_skips,fallback_count,query_wall_ms,query_gpu_ms,encoder_wall_ms,decoder_wall_ms,cache_load_wall_ms,online_nog_prefix_wall_ms,cache_assembly_wall_ms,suffix_wall_ms,prefix_transformer_gpu_ms,suffix_gnn_gpu_ms,suffix_transformer_gpu_ms,dense_fc_gpu_ms,attention_gpu_ms,norm_residual_other_gpu_ms,quant_kv_attention_gpu_ms,kv_prepare_gpu_ms,int_qk_gpu_ms,softmax_prob_quant_gpu_ms,int_pv_gpu_ms,gnn_score_gpu_ms,gnn_message_gpu_ms,gnn_update_gpu_ms,gnn_other_gpu_ms
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000012:e68ab2deaa767559,12,12,large_h6_n32_s100,e68ab2deaa7675595855716311acbebe6d3127faa780ccefd02506dd49341245,3,25165824,651264,651264,36,4116,96,0,1,0,3106.130751,3106.071044921875,3017.34761,88.412944,105.46769108623266,43.10638830065727,12.13829591870308,2780.293205752969,19.609983444213867,183.81449699401855,2594.1007385253906,1333.7422067821026,533.059232711792,747.0621811449528,496.9863033294678,127.12611215282232,17.50707198586315,54.72585594467819,16.223359971307218,123.62806701660156,5.941247999668121,49.46563148498535,4.750623643398285
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000013:0860ee00460e146d,13,13,large_h6_n32_s100,0860ee00460e146d038b3f8392d3eb2f4abc2c0c24bd13a8dacf09e1b696d00a,3,1310720,454656,454656,30,294,5,0,1,0,687.920599,687.8888549804688,615.21333,72.484423,7.879952900111675,42.46005695313215,0.6903298199176788,552.85001732409,19.477088928222656,7.341184020042419,545.8664016723633,89.45180806517601,445.9542417526245,30.11302337050438,415.85644912719727,109.02767981216311,14.174239988438785,46.08531201258302,13.502431987784803,4.7206079959869385,0.20073599554598331,2.175007998943329,0.26988803409039974
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000014:c972fa05769b65c0,14,14,large_h6_n32_s100,c972fa05769b65c080100870b064144ec7cf6a4b1d7174410965054b5220daa2,3,24641536,1319424,1319424,60,4032,94,0,1,0,3673.192047,3673.184814453125,3553.261126,120.024885,103.44027727842331,42.68060065805912,11.771189980208874,3301.4794951304793,19.70806312561035,199.80553436279297,3099.2978515625,1306.0109737217426,895.4977579116821,924.6219122111797,834.6975345611572,215.80080005154014,29.97545598167926,92.07942390441895,26.842143981717527,139.50870513916016,6.856160044670105,48.169471740722656,5.280416488647461
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000015:7860cc9e87b16e39,15,15,large_h6_n32_s100,7860cc9e87b16e39de2de402e32a925819a9fff749261c257a3a9988ba8a9f81,3,30146560,1044480,1044480,48,4914,115,0,1,0,3882.361713,3882.44677734375,3761.454805,119.613436,139.72345925867558,42.489598505198956,14.54387791454792,3439.8530665785074,19.461536407470703,270.4668159484863,3167.7809448242188,1593.5258566141129,706.8038740158081,885.8699962198734,658.2495050430298,166.18083202838898,23.448991989716887,72.61494405567646,21.51939198654145,193.7088623046875,9.823359966278076,59.49855995178223,7.142208218574524
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000016:f32d2923dd6418be,16,16,large_h6_n32_s100,f32d2923dd6418bebe8ada92b42ccb060475dde1d252f130e5de2dbd5b2a4177,3,31195136,734208,734208,42,5082,119,0,1,0,3865.090574,3865.021484375,3744.930421,119.745808,134.2891212552786,42.879353277385235,15.006713569164276,3445.8592869341373,19.57792091369629,258.8306579589844,3183.9800415039062,1649.1175020933151,629.2769889831543,924.091598957777,586.8514585494995,154.33052780013531,20.528607983142138,64.6564799696207,18.921727983281016,179.8166732788086,9.058367848396301,63.200608253479004,6.7539204359054565
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000017:001227f32c85f0ec,17,17,large_h6_n32_s100,001227f32c85f0ece738bdac5e9d63bf9ee23945eddc92d44f1a7f893c6bb68d,3,25165824,651264,651264,36,4116,96,0,1,0,3145.979036,3145.917724609375,3023.774333,121.83499,104.43752631545067,42.553288862109184,12.082993984222412,2768.5889629647136,19.535232543945312,183.5662078857422,2582.6764526367188,1321.6992626786232,529.9909753799438,745.6919319331646,493.8069438934326,126.88876802939922,17.35948800481856,54.26268800534308,16.111231999471784,123.50179290771484,5.945823967456818,49.368255615234375,4.760478675365448
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000018:6ce65e1c7c0c94ef,18,18,large_h6_n32_s100,6ce65e1c7c0c94ef3d7d047887beb54c47e8f6ddec8294a4fe63dc209a302842,3,34340864,900096,900096,48,5586,131,0,1,0,4301.100711,4301.02587890625,4180.466866,120.123083,143.57874635607004,43.446107767522335,16.48717001080513,3854.508818127215,20.288192749023438,315.2850875854492,3535.7312622070312,1798.5165417790413,734.3286399841309,1013.8722371459007,686.0600337982178,188.48198419623077,23.50787198357284,73.71513588167727,21.61180798150599,226.30118560791016,11.557151794433594,68.98281574249268,8.25766921043396
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000019:3ceac226ed43f1c1,19,19,large_h6_n32_s100,3ceac226ed43f1c18cc6acb41ff4db088b2653a73733f1c9344b54f69cbda7f4,3,29097984,847872,847872,42,4746,111,0,1,0,3625.116708,3625.049560546875,3503.15742,121.554746,132.5573269277811,42.684939689934254,14.007565565407276,3216.284521855414,19.55526351928711,222.28413009643555,2991.573211669922,1525.8720967173576,620.553599357605,858.2422359585762,578.4519329071045,147.97558411490172,20.370751996524632,63.71289595216513,18.9080319898203,151.42223930358887,7.371104001998901,57.790656089782715,5.761474847793579
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000020:81153c37c7d05390,20,20,large_h6_n32_s100,81153c37c7d053901f9540861759677a595aa97e8ae544d616c2d23736bd2dc4,3,26476544,1013760,1013760,48,4326,101,0,1,0,3452.396876,3452.330810546875,3348.037678,103.968038,110.68118549883366,42.57160238921642,12.7498097717762,3090.7071828842163,19.54921531677246,212.21356582641602,2875.8790893554688,1390.4388174116611,726.612286567688,771.7965604662895,678.2482538223267,181.49260805919766,24.11606399063021,73.68697603419423,21.694783999584615,146.2229118347168,7.168767929077148,53.2841272354126,5.537181258201599
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000021:fc5bfbf6fdd8e29d,21,21,large_h6_n32_s100,fc5bfbf6fdd8e29d7fbe71e367245e52ed570813b80ffdb29ec5f6daf44c521d,3,31719424,1122816,1122816,60,5166,121,0,1,0,4311.500825,4311.42431640625,4222.969764,88.108946,360.9272735193372,43.05342398583889,15.231616795063019,3701.36496424675,19.597888946533203,244.6665267944336,3454.0731811523438,1661.7916193008423,894.1103057861328,916.957213640213,834.2917470932007,218.12000023853034,28.850943990051746,91.3905279841274,26.80307195521891,167.3158721923828,8.275392174720764,62.747679710388184,6.330592036247253
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000022:ee5c361ce1ad5fc6,22,22,large_h6_n32_s100,ee5c361ce1ad5fc66022d08fbcba437f002eec019cb85b367f405b797a45d74a,3,1310720,233472,233472,30,294,5,0,1,0,778.00248,777.968505859375,625.608788,152.16001,7.203997112810612,42.26702265441418,0.6884858012199402,566.16679020226,19.451072692871094,6.344512104988098,559.4057846069336,88.7651843726635,460.07369232177734,30.15810778737068,430.1790704727173,120.60483211278915,14.311487976461649,46.169280003756285,13.578367976471782,3.8199360966682434,0.16438400000333786,2.1072320342063904,0.25030401162803173
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000023:653fb92078e2817b,23,23,large_h6_n32_s100,653fb92078e2817b6b80e8da0ab4e49c60c2e35c219ce170a0ea58d2a52209c0,3,22806528,847872,847872,42,3738,87,0,1,0,2992.610288,2992.550537109375,2888.314358,103.937984,97.45161794126034,43.28709188848734,10.999705642461777,2651.567079126835,20.266815185546875,186.87305641174316,2462.38134765625,1200.8487385809422,614.2070407867432,666.6621470451355,572.4049940109253,144.64719986636192,20.465983984991908,63.38175994716585,19.074687987565994,130.42720222473145,6.413951992988586,45.08630418777466,4.940125465393066
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000024:e57828c39ee81537,24,24,large_h6_n32_s100,e57828c39ee81537cd4dc7957c24a27aa85a6131f03f887a97bf979e6f9b093d,3,33816576,1044480,1044480,48,5502,129,0,1,0,4135.313471,4135.23828125,4062.173478,72.712327,138.51812947541475,42.5637885928154,16.260307282209396,3750.7580555975437,19.56483268737793,305.1531181335449,3444.1084594726562,1770.9161599874496,705.1585597991943,998.6799831390381,657.8229751586914,165.6569919474423,23.701440040953457,74.51302406936884,21.821599994786084,218.67750549316406,11.2953599691391,67.11308765411377,8.036635756492615
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000025:532c3f0600e60f69,25,25,large_h6_n32_s100,532c3f0600e60f698bf02a8724ffdd4309bb4e6754d6fb0f6c6acb895d63cda2,3,10223616,505344,505344,36,1722,39,0,1,0,1729.295098,1729.249267578125,1576.527507,152.48782,43.734267354011536,42.195809073746204,5.584217607975006,1438.6262064799666,19.47609519958496,79.80700874328613,1357.6571502685547,549.5012154579163,534.135745048523,293.3487323522568,498.5096025466919,131.27775998972356,17.198752015829086,55.264159969985485,16.172895994968712,54.63273525238037,2.6855359971523285,20.34563183784485,2.1466249525547028
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000026:47960a5bc95ed3fe,26,26,large_h6_n32_s100,47960a5bc95ed3fedb36ceb1169e290cff9559b75c8b9b05ed8874baff01d4eb,3,31719424,1491456,1491456,66,5166,121,0,1,0,4243.215857,4243.138671875,4091.964734,150.821994,129.9454513937235,43.0927574634552,15.296543948352337,3786.8199329823256,19.548351287841797,239.98230361938477,3543.7242431640625,1662.606910198927,977.6264295578003,915.6110944449902,911.2651824951172,233.37104002386332,32.763615942560136,100.98831992410123,29.63078397512436,163.17161750793457,7.990752100944519,62.68380832672119,6.219805717468262
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000027:f45becbe7effa564,27,27,large_h6_n32_s100,f45becbe7effa5645841682460d17620f32a7cd8b77de8ee97b7fcd07dca084a,3,30408704,714240,714240,42,4956,116,0,1,0,4010.756636,4010.6826171875,3857.5335,152.814827,120.39282266050577,42.821357026696205,14.668860472738743,3561.0684268176556,19.57574462890625,245.40192031860352,3314.2565307617188,1593.1411182284355,629.3330535888672,1079.2206259965897,587.0744953155518,155.49340796191245,20.496064017526805,72.87161595746875,19.11817598901689,170.7936954498291,8.453824162483215,59.6644811630249,6.423391222953796
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000028:6ded904a1002dc74,28,28,large_h6_n32_s100,6ded904a1002dc74077985daa12927c42db514dc520b7b77c67f822af904448a,3,32243712,2416128,2416128,90,5250,123,0,1,0,4595.521635,4595.43994140625,4473.622187,121.475017,137.46968656778336,42.486279271543026,15.828492119908333,4165.590969845653,19.596736907958984,282.33795166015625,3882.3556518554688,1690.4384655356407,1317.6190090179443,905.2857655584812,1227.1931476593018,306.41267166659236,43.90668799635023,136.51395188272,40.09017596207559,199.51119995117188,10.103775978088379,65.43731212615967,7.365118980407715
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000029:07d0144ff3ceb12e,29,29,large_h6_n32_s100,07d0144ff3ceb12ed7afe426341e99da86f7c32b6c96360aedbb18dac61672ac,3,32505856,2219520,2219520,90,5292,124,0,1,0,4619.085223,4619.0751953125,4530.443185,88.380443,135.9320068731904,42.5201216712594,15.587479807436466,4236.116394400597,19.593408584594727,310.255428314209,3925.3812866210938,1703.4981727004051,1324.2576627731323,912.7261878848076,1233.421441078186,308.53104003798217,43.66633602138609,136.5343679804355,40.13231997936964,225.23737335205078,11.568031907081604,65.02742290496826,8.180000305175781
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000030:455cba2d7fc3150f,30,30,large_h6_n32_s100,455cba2d7fc3150f9535d2dc25f18547fd6d70175c3a7617f01985af8e80077a,3,34340864,551424,551424,42,5586,131,0,1,0,4120.722411,4120.6455078125,4031.850476,88.435549,144.0453315153718,42.79217403382063,16.6186997666955,3710.142383351922,19.68134307861328,294.9450912475586,3411.664794921875,1800.2316447496414,623.1696672439575,1016.5298852920532,582.1148147583008,152.96073579322547,20.096127964556217,64.71942399814725,18.9481599945575,207.61481475830078,10.48473608493805,69.19228744506836,7.643971800804138
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000031:33e8426840fb4795,31,31,large_h6_n32_s100,33e8426840fb47951dbfaf92f3cac61b4056a010f9cc6e131f8a054e7ff82e05,3,21757952,1634304,1634304,66,3570,83,0,1,0,3453.259292,3453.245849609375,3332.957407,121.692176,95.11978179216385,42.586034163832664,10.43662428855896,3096.628149971366,19.589216232299805,172.7579860687256,2921.6329040527344,1146.2152668833733,1195.8126058578491,609.26216173172,1129.5060892105103,229.66595193836838,33.071839990094304,99.49449593387544,29.110367964953184,119.54652786254883,5.823039948940277,42.84908866882324,4.548191130161285
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000032:ec041f871f85a7ed,32,32,large_h6_n32_s100,ec041f871f85a7edaf87413f57485fe823e23cef6dd5d3c8bb11f020eba7ecb0,3,28835840,1297920,1297920,60,4704,110,0,1,0,3949.249121,3949.318359375,3827.027296,121.728667,154.76081520318985,43.07229910045862,13.934684917330742,3492.3333479091525,19.56403160095215,274.0735054016113,3215.4353637695312,1514.2733137309551,885.4188508987427,830.155204564333,826.5028781890869,212.93795188050717,29.760192023590207,90.60207999683917,26.564064004458487,199.25356674194336,10.132256031036377,57.593247413635254,7.308065891265869
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000033:d99e6aa72dde8276,33,33,large_h6_n32_s100,d99e6aa72dde8276c03ab9a25648586d719760ca13be233b200b0b5682a4d3c0,3,24641536,1437696,1437696,60,4032,94,0,1,0,3442.932748,3442.865478515625,3322.06092,120.082198,103.73387485742569,42.57065150886774,11.826379224658012,3067.213253118098,19.543071746826172,199.7737579345703,2864.978729248047,1295.4202893674374,880.2207021713257,704.6855124235153,819.9257316589355,206.19497615564615,30.506751976907253,93.71753598377109,27.663808001205325,139.43392181396484,6.846751928329468,48.20240068435669,5.282171368598938
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000034:c6ac1e55dc429a4f,34,34,large_h6_n32_s100,c6ac1e55dc429a4fc1b42124729ffba05ed8394093043e27892433107870aa87,3,22806528,516096,516096,36,3738,87,0,1,0,2933.6204,2933.55859375,2826.370577,106.33725,96.45034093409777,42.48458705842495,12.565718032419682,2583.6873967200518,19.57676887512207,177.27599906921387,2404.3522033691406,1200.6158103048801,541.3100166320801,681.0697689950466,505.17760181427,136.4119360372424,17.477152000181377,62.10719994083047,18.099872034974396,121.56294250488281,5.920831978321075,45.15347194671631,4.638752639293671
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000035:1da4a13ce5213d4c,35,35,large_h6_n32_s100,1da4a13ce5213d4c79c9a0bb38169caf3b45a9be12ecb3ae9d2cd3eac5fec78d,3,35127296,847872,847872,42,5712,134,0,1,0,4255.631218,4255.55322265625,4135.030844,119.909445,154.01181671768427,42.858767323195934,17.12949015200138,3804.558666422963,19.600479125976562,316.5184020996094,3484.6524047851562,1839.5633952915668,620.148609161377,1037.6382267177105,577.5167694091797,146.68924796301872,20.356992011889815,65.68745598196983,19.016095948405564,226.52614212036133,11.610144019126892,69.95785617828369,8.29059112071991
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000036:804a860e7310daa9,36,36,large_h6_n32_s100,804a860e7310daa9550514fc493811a15c565d6849046cd2dc6283336da2b829,3,26476544,940032,940032,54,4326,101,0,1,0,3583.46808,3583.398193359375,3430.154347,152.924541,112.67466470599174,42.8048949688673,12.862900272011757,3164.6691877394915,19.600223541259766,225.16252899169922,2936.654296875,1391.9065917134285,799.6849946975708,764.993845641613,745.8728656768799,192.640608176589,26.06166401412338,83.11033602431417,24.370655971579254,157.75071907043457,7.874528169631958,53.520575523376465,5.922948002815247
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000037:b2b1c0e329a7a543,37,37,large_h6_n32_s100,b2b1c0e329a7a54359e24ff662b6ebd70e3b5d674824299b49542416910557d9,3,34340864,972288,972288,48,5586,131,0,1,0,4490.330486,4490.24853515625,4370.338902,119.557405,144.97270714491606,42.89495386183262,16.74544718116522,4048.036224208772,19.680511474609375,315.73526763916016,3732.8543090820312,1800.2718732953072,943.7604103088379,1009.9945375323296,895.9366474151611,182.43600012362003,23.412767993286252,73.32288002222776,21.589823972433805,226.5923194885254,11.754783987998962,69.12252902984619,8.253853917121887
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000038:fbe38da1cb98badb,38,38,large_h6_n32_s100,fbe38da1cb98badbd1dd893f4c961fbcfe5afa0e79345cd4be3f0986d0a540de,3,22020096,847872,847872,42,3612,84,0,1,0,2991.518363,2991.455322265625,2836.25133,153.338851,92.1468734741211,42.47939866036177,10.630395263433456,2611.395336687565,19.56719970703125,202.90198516845703,2406.5619506835938,1161.2925442159176,618.0390710830688,642.1814077794552,575.7981414794922,146.10467206314206,20.68607997149229,64.5154560059309,18.770431984215975,146.72960090637207,7.37062406539917,43.338271617889404,5.484160780906677
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000039:8e57a218b861b29b,39,39,large_h6_n32_s100,8e57a218b861b29b7aff341dbd5e0899e71177d7377faa87b56f5781093d6fa8,3,32505856,1953792,1953792,90,5292,124,0,1,0,4657.357007,4657.4365234375,4565.806347,90.335173,135.05797553807497,42.62374062091112,15.740890055894852,4245.140874758363,19.513504028320312,310.7883186340332,3932.2836303710938,1705.4625895917416,1323.7488288879395,911.7752873897552,1234.309377670288,315.7916163969785,44.488032007589936,137.00959998369217,40.49513593316078,225.72093200683594,11.599007844924927,65.2347526550293,8.200539231300354
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000040:e26e85c190581c32,40,40,large_h6_n32_s100,e26e85c190581c328da2e707ccea0a93e798ad0f39688260df71802a0feb298c,3,28311552,803328,803328,42,4620,108,0,1,0,3540.982297,3540.912353515625,3434.514029,106.05235,124.47870709002018,42.89902187883854,14.53909371048212,3146.9098161906004,19.634111404418945,207.5111312866211,2936.646942138672,1487.1103353500366,630.5746212005615,833.6677994728088,588.2519378662109,154.04380814451724,20.442112020216882,64.99187202379107,19.391935985535383,139.828031539917,6.761599898338318,55.58435249328613,5.367515206336975
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000041:c51927d6be580551,41,41,large_h6_n32_s100,c51927d6be580551a2ca89f8ad157e5cd90edc5aa008995d56b824f4c4265a1d,3,27525120,847872,847872,42,4494,105,0,1,0,3543.132143,3543.0634765625,3389.489431,153.236787,119.53054461628199,42.82915033400059,13.415792025625706,3106.3645631074905,19.569055557250977,239.1071319580078,2864.5133361816406,1446.9835536777973,626.4593286514282,810.303385913372,584.4172821044922,147.7961280271411,20.440512019209564,64.63056002184749,19.04684799350798,168.75334548950195,8.478944182395935,55.57443141937256,6.303132772445679
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000042:eed68a5f55951b17,42,42,large_h6_n32_s100,eed68a5f55951b1772e17bcc77161073a57922816c32d400283534e33e2ee190,3,28835840,1024512,1024512,48,4704,110,0,1,0,3822.211486,3822.196044921875,3732.160714,90.504598,122.72417079657316,42.55438782274723,13.989875093102455,3465.3267599642277,19.456127166748047,231.10723495483398,3231.634033203125,1514.7580473721027,915.1213045120239,842.4292072951794,868.0439672470093,173.94527993910015,23.404608013108373,275.8595841880888,21.53238397091627,159.73056030273438,7.870847940444946,57.4683198928833,6.037506818771362
cora_node,cache_w8a8_m4k2v2,val,cora_node:val:000043:6a9ed65042278371,43,43,large_h6_n32_s100,6a9ed65042278371752d34ed2b688c311d2a61cfba7dcc956b56f2d3c30a5056,3,1310720,233472,233472,30,294,5,0,1,0,779.346863,779.3126831054688,628.531823,150.576124,7.345898076891899,42.33452305197716,0.7051145657896996,566.6509447619319,19.612319946289062,6.347488045692444,559.8993911743164,88.91798451542854,460.1830406188965,30.286387890577316,430.0225591659546,119.60467211529613,14.182943996042013,46.36016000807285,13.728063990361989,3.8245440125465393,0.16435199975967407,2.1052480041980743,0.2489602044224739
